imageName,arucoAvailable,realT,realR,otherInfo,method,detectedT,detectedR
56.png,True,"[0.0, 0.0, 0.1]","[[0.9999999999999999, 0.0, 0.0], [0.0, 0.9832388400574655, -0.1823221966806275], [0.0, 0.1823221966806275, 0.9832388400574655]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.888942208231136e-05, -8.393673475102697e-05, 0.12551177144249775]","[0.17873597308519482, -0.00013493937838181594, 4.81173301772851e-05]"
57.png,True,"[0.0, 0.0, 0.1]","[[1.0, 0.0, 0.0], [0.0, 0.9777055644823085, -0.20998054476624842], [0.0, 0.20998054476624842, 0.9777055644823085]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.845152907165653e-05, -2.285729528016368e-05, 0.12527792958440473]","[0.21725463805673528, -0.0001844274650222031, 5.7896729469980036e-05]"
58.png,True,"[0.0, 0.0, 0.1]","[[1.0, 0.0, 0.0], [0.0, 0.9713944250328961, -0.2374718320454221], [0.0, 0.2374718320454221, 0.9713944250328961]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.827896151264355e-05, -3.890901552314661e-05, 0.12531484495364661]","[0.2422483679366464, -0.0002154938214349493, 6.410049397984997e-05]"
59.png,True,"[0.0, 0.0, 0.1]","[[1.0, 0.0, 0.0], [0.0, 0.9643104428603411, -0.2647741864126726], [0.0, 0.2647741864126726, 0.9643104428603411]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.811038776173567e-05, -6.317486562573684e-05, 0.12533450746466956]","[0.2661486258953526, -0.0002442783970542104, 6.994467547497437e-05]"
60.png,True,"[0.0, 0.0, 0.1]","[[0.9999999999999999, 0.0, 0.0], [0.0, 0.956459253990476, -0.29186588607780445], [0.0, 0.29186588607780445, 0.956459253990476]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.795559564174805e-05, -0.00014294311218885727, 0.12544359788634016]","[0.29404519910656324, -0.00027975626451522926, 7.665121143902534e-05]"
61.png,True,"[0.0, 0.0, 0.1]","[[1.0, 0.0, 0.0], [0.0, 0.9478471048398232, -0.3187253768477895], [0.0, 0.3187253768477895, 0.9478471048398232]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.756286183522192e-05, -4.6318499834936684e-05, 0.12518446010299117]","[0.32947047422936226, -0.00031936892779213164, 8.529506086592515e-05]"
62.png,True,"[0.0, 0.0, 0.1]","[[1.0, 0.0, 0.0], [0.0, 0.9384808472459367, -0.34533128927531115], [0.0, 0.34533128927531115, 0.9384808472459367]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.744581243601877e-05, -6.104282379788627e-05, 0.12532860912038807]","[0.35910638998378086, -0.00035241626693417396, 9.244982459466301e-05]"
63.png,True,"[0.0, 0.0, 0.1]","[[1.0, 0.0, 0.0], [0.0, 0.9283679330160726, -0.3716624556603274], [0.0, 0.3716624556603274, 0.9283679330160726]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.732762498989629e-05, -3.5225863457077535e-05, 0.12536598332407536]","[0.3826775322059461, -0.00037516137528639413, 9.81382038869844e-05]"
64.png,True,"[0.0, 0.0, 0.1]","[[1.0, 0.0, 0.0], [0.0, 0.9175164079985194, -0.3976979268911198], [0.0, 0.3976979268911198, 0.9175164079985194]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-2.0223610600904903e-05, -9.314523764067178e-05, 0.12544684506334824]","[0.41232434810836516, -0.002876919893207767, -0.0012529917207846572]"
65.png,True,"[0.0, 0.0, 0.1]","[[1.0, 0.0, 0.0], [0.0, 0.9059349056813111, -0.42341698911143605], [0.0, 0.42341698911143605, 0.9059349056813111]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.707355629822049e-05, -0.00010687896094434283, 0.12542899992896597]","[0.4362816367424719, -0.00042428561050165053, 0.00011120962284621896]"
